Node_i,Node_j,Distance_KMS
1,1,0
1,2,1.917589431
1,3,3.687210543
1,4,1.715632671
1,5,3.677212684
1,6,3.117332558
1,7,4.806970795
1,8,8.562166782
1,9,8.298223294
1,10,3.219310724
1,11,7.194459617
1,12,9.230023789
1,13,17.02835411
1,14,13.90302327
1,15,19.3898485
1,16,29.18575113
1,17,23.63893874
1,18,19.19389046
1,19,27.01421607
1,20,41.71306894
1,21,35.594379
1,22,27.62008635
1,23,23.65493532
1,24,30.98536582
1,25,38.80369188
1,26,39.40956215
1,27,38.52575138
1,28,36.55817264
1,29,37.43198556
1,30,48.03371565
1,31,56.47790771
1,32,61.6527997
1,33,47.63780041
1,34,43.16275857
1,35,40.26937805
1,36,40.02543029
1,37,45.03635741
1,38,53.92645398
1,39,45.79619471
1,40,49.0474986
1,41,56.16797405
1,42,66.26181289
1,43,47.38185523
1,44,50.56517365
1,45,67.53953933
1,46,71.23674774
1,47,70.24496007
1,48,75.77377633
1,49,76.905534
1,50,71.08478026
1,51,65.27002524
1,52,70.21696608
1,53,60.58902747
1,54,65.75392164
1,55,73.09235042
1,56,65.88789295
1,57,71.70064841
1,58,66.17583132
1,59,69.42113647
1,60,78.54318337
1,61,84.7898459
1,62,86.28352611
1,63,83.09020981
1,64,76.21168255
1,65,105.7753528
1,66,92.62416853
1,67,91.64637787
1,68,87.42328208
1,69,92.6681591
1,70,172.0331665
1,71,78.63116452
1,72,81.18061868
1,73,181.8230704
1,74,84.19197394
1,75,92.11427771
1,76,111.6580932
1,77,108.2548219
1,78,117.8247729
1,79,98.03700961
1,80,97.49312607
1,81,37.66593547
1,82,115.9251796
1,83,107.0370826
1,84,154.6008989
1,85,60.97694444
1,86,89.4688441
1,87,84.41992512
1,88,87.38928934
1,89,105.2994547
1,90,49.04549902
2,1,2.081554325
2,2,0
2,3,3.883168587
2,4,1.953581725
2,5,3.915161737
2,6,2.71541861
2,7,5.044919848
2,8,7.174463898
2,9,8.536172347
2,10,1.301721293
2,11,5.274870614
2,12,7.556382127
2,13,17.26430359
2,14,14.13897275
2,15,19.62779755
2,16,19.62979713
2,17,23.87488822
2,18,19.42983994
2,19,27.25216513
2,20,41.94901843
2,21,35.83232805
2,22,27.8580354
2,23,23.89288437
2,24,31.2213153
2,25,39.04164093
2,26,39.6475112
2,27,38.76370044
2,28,36.79412212
2,29,28.83382648
2,30,39.43355701
2,31,56.71585673
2,32,61.89074877
2,33,47.87574947
2,34,43.40070763
2,35,40.50732711
2,36,40.26337935
2,37,45.27230689
2,38,54.16440304
2,39,46.0321442
2,40,49.28544766
2,41,56.40392354
2,42,66.49976196
2,43,47.61980429
2,44,50.80112315
2,45,67.77748839
2,46,71.47269719
2,47,70.48090956
2,48,76.00972579
2,49,77.14148348
2,50,71.32072975
2,51,65.50597472
2,52,70.45491514
2,53,60.82497696
2,54,65.99187068
2,55,73.33029947
2,56,66.12384244
2,57,71.9365979
2,58,66.41378034
2,59,69.65908552
2,60,78.77913286
2,61,85.02779496
2,62,86.51947559
2,63,83.32615929
2,64,76.44763203
2,65,106.0113023
2,66,92.86011801
2,67,91.88432693
2,68,87.65923156
2,69,92.90610816
2,70,172.2711156
2,71,78.86711401
2,72,81.41656817
2,73,182.0610195
2,74,84.42992296
2,75,92.35222677
2,76,111.8940427
2,77,108.492771
2,78,118.0607224
2,79,98.2729591
2,80,97.72907555
2,81,37.90388453
2,82,116.1631287
2,83,107.2750317
2,84,154.838848
2,85,61.21289389
2,86,89.70679315
2,87,84.6558746
2,88,87.62523883
2,89,105.5374037
2,90,49.28344808
3,1,2.659430598
3,2,2.967364667
3,3,0
3,4,1.269728143
3,5,1.125758967
3,6,2.671428029
3,7,2.383489679
3,8,6.138685665
3,9,5.872742606
3,10,3.291295311
3,11,7.510391974
3,12,8.260231428
3,13,14.47490082
3,14,11.34956998
3,15,16.83639521
3,16,26.63229784
3,17,21.08548545
3,18,16.64043717
3,19,24.46276236
3,20,39.15961565
3,21,33.04092571
3,22,25.06663306
3,23,21.10148203
3,24,28.43191253
3,25,36.25023858
3,26,36.85610885
3,27,35.97429765
3,28,34.00471937
3,29,34.87853226
3,30,45.48026238
3,31,53.92445441
3,32,59.09934644
3,33,45.08434714
3,34,40.60930527
3,35,37.71592476
3,36,37.47197699
3,37,42.48290413
3,38,51.37300069
3,39,43.24274145
3,40,46.4940453
3,41,53.61452076
3,42,63.7083596
3,43,44.82840194
3,44,48.01172036
3,45,64.98608604
3,46,68.68329444
3,47,67.69150679
3,48,73.22032303
3,49,74.3520807
3,50,68.53132697
3,51,62.71657197
3,52,67.66351278
3,53,58.03557417
3,54,63.20046836
3,55,70.53889715
3,56,63.33443965
3,57,69.14719511
3,58,63.62237802
3,59,66.86768317
3,60,75.98973007
3,61,82.23639264
3,62,83.73007281
3,63,80.53675654
3,64,73.65822928
3,65,103.2218995
3,66,90.07071526
3,67,89.09292461
3,68,84.86982878
3,69,90.11470584
3,70,169.4797132
3,71,76.07771125
3,72,78.62716538
3,73,179.2696171
3,74,81.63852064
3,75,89.56282398
3,76,109.1046399
3,77,105.7013686
3,78,115.2713196
3,79,95.48355631
3,80,94.93967277
3,81,35.11248218
3,82,113.3717263
3,83,104.4836293
3,84,152.0474456
3,85,58.42349113
3,86,86.91539082
3,87,81.86647182
3,88,84.83583608
3,89,102.7460014
3,90,46.49204573
4,1,2.00157145
4,2,1.921588575
4,3,1.971577872
4,4,0
4,5,2.281511513
4,6,1.401699886
4,7,3.411269624
4,8,5.162894589
4,9,6.902522123
4,10,2.019567597
4,11,6.238664259
4,12,7.488396683
4,13,15.63065337
4,14,12.50532253
4,15,17.99214776
4,16,27.78805039
4,17,22.241238
4,18,17.79618971
4,19,25.6185149
4,20,40.3153682
4,21,34.19867783
4,22,26.22438518
4,23,22.25923415
4,24,29.58766508
4,25,37.4079907
4,26,38.01386097
4,27,37.13005021
4,28,35.16047189
4,29,36.03628438
4,30,46.6360149
4,31,55.08220653
4,32,60.25709856
4,33,46.24209926
4,34,41.76705739
4,35,38.87367688
4,36,38.62972911
4,37,43.63865665
4,38,52.5307528
4,39,44.39849397
4,40,47.65179742
4,41,54.77027331
4,42,64.86611172
4,43,45.98615406
4,44,49.16747291
4,45,66.14383815
4,46,69.83904699
4,47,68.84725933
4,48,74.37607559
4,49,75.50783325
4,50,69.68707952
4,51,63.87232449
4,52,68.8212649
4,53,59.19132673
4,54,64.35822048
4,55,71.69664927
4,56,64.4901922
4,57,70.30294766
4,58,64.78013014
4,59,68.02543529
4,60,77.14548263
4,61,83.39414476
4,62,84.88582536
4,63,81.69250909
4,64,74.81398183
4,65,104.377652
4,66,91.22646778
4,67,90.25067673
4,68,86.02558133
4,69,91.27245796
4,70,170.6374654
4,71,77.2334638
4,72,79.78291793
4,73,180.4273693
4,74,82.79627276
4,75,90.71857654
4,76,110.2603925
4,77,106.8591207
4,78,116.4270722
4,79,96.63930886
4,80,96.09542532
4,81,36.2702343
4,82,114.5294785
4,83,105.6413815
4,84,153.2051977
4,85,59.57924369
4,86,88.07314294
4,87,83.02222437
4,88,85.99158863
4,89,103.9037535
4,90,47.64979785
5,1,15.4866842
5,2,15.79461826
5,3,13.353141
5,4,14.09898131
5,5,0
5,6,15.49868163
5,7,14.53688755
5,8,15.53067478
5,9,14.02099801
5,10,16.11854891
5,11,17.23630959
5,12,15.85660499
5,13,13.34914186
5,14,10.22381101
5,15,15.71063625
5,16,25.50653888
5,17,19.95972649
5,18,15.5146782
5,19,23.33700339
5,20,38.03385669
5,21,31.91716632
5,22,23.9408741
5,23,19.97572306
5,24,27.30615357
5,25,35.12647919
5,26,35.73034989
5,27,34.8485387
5,28,32.87896038
5,29,33.75477287
5,30,44.35450339
5,31,52.80069502
5,32,57.97558702
5,33,43.96058775
5,34,39.48554588
5,35,36.59216537
5,36,36.3482176
5,37,41.35714514
5,38,50.24924129
5,39,42.11698246
5,40,45.37028591
5,41,52.4887618
5,42,62.58460021
5,43,43.70464255
5,44,46.8859614
5,45,63.86232665
5,46,67.55753548
5,47,66.56574782
5,48,72.09456408
5,49,73.22632174
5,50,67.40556801
5,51,61.59081298
5,52,66.53975339
5,53,56.90981522
5,54,62.07670897
5,55,69.41513776
5,56,62.20868069
5,57,68.02143615
5,58,62.49861863
5,59,65.74192421
5,60,74.86397111
5,61,81.11263325
5,62,82.60431385
5,63,79.41099755
5,64,72.53247029
5,65,102.0961405
5,66,88.94495627
5,67,87.96716562
5,68,83.74406982
5,69,88.99094645
5,70,168.3559539
5,71,74.95195226
5,72,77.50140642
5,73,178.1458577
5,74,80.51476125
5,75,88.43706503
5,76,107.978881
5,77,104.5776092
5,78,114.1455607
5,79,94.35779735
5,80,93.81391381
5,81,33.98872279
5,82,112.247967
5,83,103.3598699
5,84,150.9236862
5,85,57.29773218
5,86,85.79163144
5,87,80.74071286
5,88,83.71007709
5,89,101.622242
5,90,45.36828634
6,1,5.098908289
6,2,3.561237515
6,3,4.327073544
6,4,2.119546191
6,5,4.401057703
6,6,0
6,7,2.547454573
6,8,4.87695581
6,9,6.098694228
6,10,2.251517935
6,11,4.84496266
6,12,6.094695084
6,13,14.09498217
6,14,10.96965132
6,15,15.93658787
6,16,18.13011822
6,17,20.84153768
6,18,18.22009895
6,19,26.04242414
6,20,40.73927743
6,21,34.62058748
6,22,26.64629485
6,23,22.68114381
6,24,30.01157432
6,25,37.83189993
6,26,36.61216109
6,27,37.55395944
6,28,33.76077158
6,29,27.33414757
6,30,37.93587766
6,31,55.50611576
6,32,60.68100779
6,33,46.6660085
6,34,42.19096663
6,35,37.47197699
6,36,37.22802923
6,37,44.06256592
6,38,52.95266247
6,39,44.82240323
6,40,48.07370708
6,41,55.19418254
6,42,65.29002095
6,43,46.41006329
6,44,49.59138214
6,45,66.56774739
6,46,70.26295622
6,47,69.27116856
6,48,74.79998482
6,49,75.93174248
6,50,70.11098875
6,51,64.29623375
6,52,69.24517414
6,53,59.61523596
6,54,64.78212971
6,55,72.1205585
6,56,64.91410143
6,57,70.72685689
6,58,65.20403937
6,59,68.44734495
6,60,77.56939185
6,61,83.81805399
6,62,85.30973459
6,63,82.11641832
6,64,75.23789106
6,65,104.8015613
6,66,91.65037704
6,67,90.67258639
6,68,86.44949056
6,69,91.69636719
6,70,171.0613746
6,71,77.65737304
6,72,80.20682716
6,73,180.8492789
6,74,83.22018199
6,75,91.14248577
6,76,110.6843017
6,77,107.28303
6,78,116.8509814
6,79,97.0632181
6,80,96.51933455
6,81,34.86853442
6,82,114.9533877
6,83,106.0632911
6,84,153.629107
6,85,60.00315292
6,86,88.49705218
6,87,83.44613361
6,88,86.41549786
6,89,104.3276628
6,90,48.07170752
7,1,4.718989632
7,2,5.024924129
7,3,2.059559034
7,4,3.329287177
7,5,3.18331843
7,6,1.829608268
7,7,0
7,8,3.749197271
7,9,3.485253783
7,10,3.251303874
7,11,5.454832083
7,12,5.870743034
7,13,11.48154172
7,14,8.356210878
7,15,14.00100229
7,16,23.79690492
7,17,18.25009253
7,18,13.90502284
7,19,21.72734803
7,20,36.42420134
7,21,30.30551138
7,22,22.33121873
7,23,18.3660677
7,24,25.6964982
7,25,33.51682381
7,26,34.02071592
7,27,33.23888332
7,28,31.16932643
7,29,32.04513892
7,30,42.64486945
7,31,51.19103965
7,32,56.3639321
7,33,42.34893281
7,34,37.87389094
7,35,34.88253143
7,36,34.63858363
7,37,39.7474898
7,38,48.63758635
7,39,40.50732711
7,40,43.75863097
7,41,50.87910645
7,42,60.97494483
7,43,42.09498717
7,44,45.27630602
7,45,62.25267127
7,46,65.94788011
7,47,64.95609247
7,48,70.4849087
7,49,71.61666638
7,50,65.79591266
7,51,59.98115763
7,52,64.92809845
7,53,55.30015987
7,54,60.46705359
7,55,67.80548238
7,56,60.59902535
7,57,66.41178077
7,58,60.88696369
7,59,64.13226883
7,60,73.25431577
7,61,79.50297787
7,62,80.9946585
7,63,77.8013422
7,64,70.92281494
7,65,100.4864852
7,66,87.33530093
7,67,86.35751027
7,68,82.13441447
7,69,87.38129107
7,70,166.7462985
7,71,73.34229692
7,72,75.89175104
7,73,176.5342028
7,74,78.90310631
7,75,86.82740965
7,76,106.3692256
7,77,102.9659543
7,78,112.5359053
7,79,92.74814198
7,80,92.20425843
7,81,32.27908882
7,82,110.6383116
7,83,101.748215
7,84,149.3120313
7,85,55.6880768
7,86,84.1799765
